observer_id,fit,se,batch
obsr1000087,2.7021251231526913,0.02414025498855239,1
obsr1000563,2.9581667874292865,0.04500212923796072,1
obsr1000570,2.5785103958249147,0.08371659158938084,1
obsr1000742,2.685922218272353,0.0653959023499797,1
obsr1000873,3.010278345902737,0.02181954390225941,1
obsr1000930,2.8813173875205726,0.030996425582027868,1
obsr1001040,2.8305428787558053,0.10305808660161574,1
obsr100116,2.9419467424490966,0.042821971998057824,1
obsr1001265,2.6652793922973856,0.04950147406397363,1
obsr1001300,3.089946887410518,0.0849716532307419,1
obsr1002278,2.8283099827641105,0.06379206242739731,1
obsr1002334,3.148077379717709,0.05496131585225337,1
obsr1002600,3.111547512601902,0.04303595665657918,1
obsr1003045,2.3407375012217124,0.04490004526212788,1
obsr1003415,2.8083539045720882,0.02632024183007801,1
obsr1003745,2.957466789575095,0.0667258855730314,1
obsr1004137,2.222160304078412,0.06218453713771857,1
obsr100451,2.7287148536872134,0.04216894847667831,1
obsr1004991,3.048759629900286,0.19265798191440872,1
obsr1005970,3.058342157867636,0.05317674972252793,1
obsr1006068,2.815596601191837,0.056035382065816416,1
obsr1006101,2.908644784235975,0.19103557382580572,1
obsr100639,2.8253645488280417,0.023920790032598706,1
obsr1006842,2.74255615714724,0.06017350387259754,1
obsr1007241,2.300612588365322,0.06610613738873913,1
obsr1007875,3.1445131205907066,0.04766283808250276,1
obsr1007898,2.6656015677430287,0.12092547387209904,1
obsr1007899,2.4901405610975136,0.12898649042048907,1
obsr1007904,3.2007243577966227,0.07637014491936536,1
obsr1007969,2.6194947704814324,0.09749544294457706,1
obsr1008316,2.9565332823172086,0.052615436260452064,1
obsr1008445,2.6551863475928066,0.10458048830330716,1
obsr1008448,2.5572669078322128,0.06550413297730462,1
obsr1008449,2.4123558364330018,0.11085410138137163,1
obsr1008451,2.6484376462800236,0.08220973785272363,1
obsr1008454,2.584674716903427,0.12145023714613692,1
obsr1008456,2.6997082458541035,0.07906350406767253,1
obsr1008457,1.9552543484269993,0.11057746587493392,1
obsr1008459,2.4066247067432593,0.09082931355310153,1
obsr1008461,2.8126393535906704,0.061327375418841513,1
obsr1008462,2.4056966076462247,0.09988051704962679,1
obsr1008463,2.738087816471775,0.08248239344866033,1
obsr1008918,2.5845746479072513,0.07862614659736997,1
obsr1009128,2.6986726604865416,0.07361571331312695,1
obsr100913,2.7514937785575935,0.020783728680497063,1
obsr1010087,2.8576503733393324,0.03847046462641929,1
obsr1010223,2.9758330777261564,0.03389605203037712,1
obsr1010335,2.1654886722031303,0.12609848960289805,1
obsr1010372,2.716502189264704,0.05007059193395367,1
obsr1010497,2.902191883400739,0.09229973442054269,1
obsr1010530,2.9944366738938766,0.07551270162369925,1
obsr1011073,2.6747075137644645,0.10738173006455519,1
obsr1011271,2.3232873916461783,0.10695330928380019,1
obsr1011762,2.438520809430746,0.22760546539651935,1
obsr1011902,2.7544459978395306,0.1929888770357117,1
obsr1011907,2.7872486876408016,0.028381508865210216,1
obsr1012173,2.7723161361785986,0.049303492407164855,1
obsr1012550,2.8796229923616092,0.01783139854194478,1
obsr1012570,1.972936917165971,0.18591066817651464,1
obsr1012571,2.0559686163577093,0.14003198104068615,1
obsr1012580,2.077213460503707,0.08825176697406517,1
obsr101303,3.0725997971648575,0.07735346033613699,1
obsr1013036,2.578621677416608,0.07409151136251815,1
obsr101316,3.1327204552285126,0.01870037917369686,1
obsr1013890,2.1184142595996382,0.19097608640764385,1
obsr1013975,2.5394480862843,0.05537387400668641,1
obsr1014134,2.320057591878012,0.030520012757602532,1
obsr1015699,2.9343605218252704,0.11770776619926338,1
obsr101615,2.9839539210125623,0.07597806092596603,1
obsr1017425,2.5241147392051966,0.0861814773417734,1
obsr1017617,2.9956103168119617,0.07109815284709028,1
obsr1018071,2.773620576959642,0.04150815740135834,1
obsr101829,2.967256248160266,0.013331127641630051,1
obsr1019543,1.6451391192925933,0.024661934101685594,1
obsr101991,2.775697609066253,0.031612924479474155,1
obsr1020426,2.9556483576126853,0.06710722102910971,1
obsr1020493,3.353526182753951,0.0253426979540155,1
obsr1021010,2.286210329879416,0.23814530159990346,1
obsr102121,3.2724144754423197,0.033295223393173805,1
